"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 22, 2022","1,900.80","1,912.10","1,916.40","1,892.90","-","-0.59%"
"Feb 21, 2022","1,912.05","1,907.80","1,918.30","1,889.70","-","0.21%"
"Feb 20, 2022","1,908.00","1,900.80","1,909.35","1,900.80","-","0.43%"
"Feb 18, 2022","1,899.80","1,901.40","1,905.00","1,888.00","161.75K","-0.12%"
"Feb 17, 2022","1,902.00","1,872.00","1,904.00","1,869.70","268.55K","1.63%"
"Feb 16, 2022","1,871.50","1,855.50","1,874.60","1,851.80","141.49K","0.82%"
"Feb 15, 2022","1,856.20","1,873.80","1,881.60","1,845.40","214.88K","-0.71%"
"Feb 14, 2022","1,869.40","1,862.20","1,876.50","1,851.90","231.02K","1.48%"
"Feb 11, 2022","1,842.10","1,827.00","1,867.40","1,821.10","239.09K","0.26%"
"Feb 10, 2022","1,837.40","1,834.00","1,843.30","1,821.80","227.46K","0.04%"
"Feb 09, 2022","1,836.60","1,827.00","1,837.10","1,825.50","136.72K","0.48%"
"Feb 08, 2022","1,827.90","1,821.50","1,829.90","1,816.00","142.41K","0.33%"
"Feb 07, 2022","1,821.80","1,808.00","1,824.60","1,807.50","139.81K","0.77%"
"Feb 04, 2022","1,807.80","1,805.40","1,815.80","1,792.10","177.71K","0.21%"
"Feb 03, 2022","1,804.10","1,807.40","1,809.50","1,788.50","173.72K","-0.34%"
"Feb 02, 2022","1,810.30","1,800.80","1,812.00","1,794.60","123.02K","0.49%"
"Feb 01, 2022","1,801.50","1,798.90","1,809.70","1,796.20","128.88K","0.28%"
"Jan 31, 2022","1,796.40","1,792.80","1,800.90","1,785.80","139.42K","0.55%"
"Jan 28, 2022","1,786.60","1,799.60","1,800.30","1,780.60","217.15K","-0.47%"
"Jan 27, 2022","1,795.00","1,821.40","1,823.80","1,792.70","206.38K","-2.02%"
"Jan 26, 2022","1,832.00","1,850.70","1,852.60","1,816.40","154.39K","-1.24%"
"Jan 25, 2022","1,855.00","1,846.00","1,856.70","1,836.80","77.99K","0.59%"
"Jan 24, 2022","1,844.20","1,838.30","1,847.20","1,831.90","103.78K","0.55%"
"Jan 21, 2022","1,834.10","1,842.60","1,845.80","1,830.60","68.74K","-0.59%"
"Jan 20, 2022","1,844.90","1,842.90","1,850.80","1,838.40","80.38K","-0.03%"
"Jan 19, 2022","1,845.50","1,816.40","1,846.10","1,811.60","88.81K","1.69%"
"Jan 18, 2022","1,814.90","1,819.80","1,825.20","1,807.20","102.42K","-0.23%"
"Jan 17, 2022","1,819.05","1,815.85","1,822.90","1,812.25","-","0.18%"
"Jan 16, 2022","1,815.75","1,816.40","1,818.10","1,815.15","-","-0.18%"
"Jan 14, 2022","1,819.00","1,823.50","1,831.50","1,816.80","25.16K","-0.27%"
"Jan 13, 2022","1,823.90","1,828.00","1,830.50","1,814.30","86.51K","-0.32%"
"Jan 12, 2022","1,829.80","1,823.70","1,830.40","1,816.90","45.50K","0.48%"
"Jan 11, 2022","1,821.00","1,803.70","1,825.50","1,802.30","40.67K","1.09%"
"Jan 10, 2022","1,801.30","1,798.00","1,804.40","1,792.00","39.84K","0.08%"
"Jan 07, 2022","1,799.90","1,793.00","1,800.70","1,783.80","71.89K","0.47%"
"Jan 06, 2022","1,791.50","1,813.50","1,813.70","1,788.00","33.20K","-1.97%"
"Jan 05, 2022","1,827.50","1,817.00","1,832.60","1,811.60","10.32K","0.58%"
"Jan 04, 2022","1,817.00","1,804.50","1,819.50","1,800.60","10.86K","0.81%"
"Jan 03, 2022","1,802.40","1,832.90","1,835.40","1,800.50","9.97K","-1.56%"
"Dec 31, 2021","1,831.00","1,819.10","1,833.60","1,818.00","5.23K","0.79%"
"Dec 30, 2021","1,816.60","1,807.40","1,820.30","1,798.80","6.52K","0.46%"
"Dec 29, 2021","1,808.20","1,809.80","1,810.00","1,791.90","3.24K","-0.28%"
"Dec 28, 2021","1,813.30","1,814.90","1,823.60","1,808.00","2.64K","0.12%"
"Dec 27, 2021","1,811.10","1,809.00","1,816.80","1,806.00","2.57K","0.06%"
"Dec 24, 2021","1,810.10","1,810.10","1,810.10","1,810.10","-","-0.21%"
"Dec 23, 2021","1,814.00","1,806.90","1,814.20","1,801.60","2.46K","0.52%"
"Dec 22, 2021","1,804.60","1,791.80","1,808.10","1,788.60","1.60K","0.75%"
"Dec 21, 2021","1,791.10","1,794.30","1,803.60","1,787.60","4.59K","-0.32%"
"Dec 20, 2021","1,796.90","1,802.40","1,805.50","1,791.40","3.80K","-0.58%"
"Dec 17, 2021","1,807.30","1,803.70","1,818.00","1,799.30","8.37K","0.37%"
