"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 22, 2022","24.130","24.043","24.273","23.938","-","0.38%"
"Feb 21, 2022","24.038","24.032","24.207","23.707","-","0.02%"
"Feb 20, 2022","24.032","23.940","24.090","23.920","-","-0.02%"
"Feb 18, 2022","24.038","23.900","24.165","23.745","-","0.48%"
"Feb 17, 2022","23.922","23.675","23.975","23.480","-","1.13%"
"Feb 16, 2022","23.654","23.450","23.710","23.340","-","1.13%"
"Feb 15, 2022","23.390","23.935","24.060","23.125","-","-2.12%"
"Feb 14, 2022","23.897","23.650","24.015","23.605","-","1.04%"
"Feb 13, 2022","23.650","23.617","23.655","23.555","-","0.98%"
"Feb 11, 2022","23.420","23.245","23.755","22.910","-","-0.63%"
"Feb 10, 2022","23.569","23.325","23.780","23.195","-","0.78%"
"Feb 09, 2022","23.386","23.230","23.405","23.150","-","0.62%"
"Feb 08, 2022","23.243","23.070","23.310","22.820","15.28K","0.54%"
"Feb 07, 2022","23.119","22.580","23.140","22.580","-","2.33%"
"Feb 06, 2022","22.593","22.510","22.605","22.500","-","0.34%"
"Feb 04, 2022","22.517","22.460","22.725","22.140","-","0.45%"
"Feb 03, 2022","22.417","22.695","22.695","22.050","-","-1.46%"
"Feb 02, 2022","22.748","22.675","22.910","22.520","-","0.50%"
"Feb 01, 2022","22.635","22.515","23.090","22.450","-","0.90%"
"Jan 31, 2022","22.432","22.505","22.695","22.295","-","0.08%"
"Jan 30, 2022","22.413","22.367","22.475","22.367","-","0.33%"
"Jan 28, 2022","22.340","22.840","22.850","22.200","-","-1.65%"
"Jan 27, 2022","22.714","23.590","23.655","22.625","-","-4.75%"
"Jan 26, 2022","23.846","23.895","24.040","23.515","-","-0.37%"
"Jan 25, 2022","23.934","24.065","24.065","23.685","-","0.41%"
"Jan 24, 2022","23.837","24.350","24.380","23.650","-","-2.07%"
"Jan 23, 2022","24.340","24.330","24.360","24.235","-","-0.07%"
"Jan 21, 2022","24.357","24.530","24.655","24.260","-","-1.60%"
"Jan 20, 2022","24.752","24.195","24.790","24.170","-","2.00%"
"Jan 19, 2022","24.267","23.545","24.295","23.475","-","3.14%"
"Jan 18, 2022","23.528","23.035","23.710","22.870","-","2.10%"
"Jan 17, 2022","23.043","22.970","23.133","22.855","-","0.33%"
"Jan 16, 2022","22.968","22.942","22.988","22.935","-","0.06%"
"Jan 14, 2022","22.954","23.130","23.370","22.885","-","-1.06%"
"Jan 13, 2022","23.199","23.205","23.335","23.065","-","-0.19%"
"Jan 12, 2022","23.243","22.850","23.285","22.735","3.75K","1.73%"
"Jan 11, 2022","22.848","22.525","22.890","22.525","-","1.56%"
"Jan 10, 2022","22.497","22.380","22.570","22.275","-","0.51%"
"Jan 09, 2022","22.383","22.387","22.420","22.328","-","-0.27%"
"Jan 07, 2022","22.443","22.225","22.485","21.985","-","1.00%"
"Jan 06, 2022","22.221","22.845","22.875","22.030","-","-4.23%"
"Jan 05, 2022","23.202","23.095","23.320","22.800","-","0.50%"
"Jan 04, 2022","23.086","22.960","23.150","22.700","-","1.08%"
"Jan 03, 2022","22.840","23.395","23.460","22.740","-","-2.09%"
"Jan 02, 2022","23.328","23.375","23.435","23.323","-","-0.23%"
"Dec 31, 2021","23.381","23.100","23.410","23.100","-","1.26%"
"Dec 30, 2021","23.091","22.905","23.155","22.655","-","1.06%"
"Dec 29, 2021","22.848","23.005","23.005","22.635","0.04K","-1.14%"
"Dec 28, 2021","23.111","23.055","23.295","23.055","0.15K","0.57%"
"Dec 27, 2021","22.979","22.680","22.680","22.680","0.00K","0.44%"
"Dec 26, 2021","22.878","22.933","22.940","22.810","-","-0.14%"
"Dec 24, 2021","22.910","22.910","22.910","22.910","-","-0.13%"
"Dec 23, 2021","22.940","22.815","22.965","22.680","33.91K","0.65%"
"Dec 22, 2021","22.792","22.465","22.705","22.465","0.19K","1.29%"
"Dec 21, 2021","22.502","22.225","22.740","22.225","0.19K","1.02%"
"Dec 20, 2021","22.275","22.300","22.370","22.290","0.09K","-0.39%"
"Dec 19, 2021","22.363","22.370","22.410","22.352","-","-0.64%"
"Dec 17, 2021","22.507","22.450","22.485","22.450","0.03K","0.23%"
"Dec 16, 2021","22.455","22.135","22.400","22.120","0.09K","4.40%"
"Dec 15, 2021","21.508","21.500","21.640","21.500","0.01K","-1.73%"
"Dec 14, 2021","21.887","22.250","22.250","21.660","0.00K","-1.81%"
"Dec 13, 2021","22.290","22.245","22.260","22.130","0.01K","0.25%"
"Dec 12, 2021","22.235","22.210","22.262","22.192","-","0.34%"
"Dec 10, 2021","22.160","21.885","22.165","21.800","0.02K","0.85%"
"Dec 09, 2021","21.974","22.280","22.285","21.890","0.03K","-1.86%"
"Dec 08, 2021","22.390","22.430","22.445","22.310","0.27K","-0.43%"
"Dec 07, 2021","22.487","22.385","22.560","22.375","0.05K","1.17%"
"Dec 06, 2021","22.228","22.490","22.490","22.100","0.09K","-1.65%"
"Dec 05, 2021","22.602","22.562","22.628","22.508","-","0.70%"
"Dec 03, 2021","22.445","22.410","22.470","22.040","0.20K","0.74%"
"Dec 02, 2021","22.280","22.295","22.400","22.240","0.13K","-0.09%"
"Dec 01, 2021","22.299","22.770","22.995","22.155","0.49K","-2.05%"
"Nov 30, 2021","22.765","22.885","23.260","22.705","2.51K","-0.15%"
"Nov 29, 2021","22.799","23.135","23.415","22.730","10.39K","-3.35%"
"Nov 28, 2021","23.590","23.415","23.595","23.337","-","2.09%"
"Nov 26, 2021","23.107","23.580","23.735","22.915","61.28K","-2.01%"
"Nov 25, 2021","23.582","23.585","23.733","23.562","-","0.37%"
"Nov 24, 2021","23.496","23.640","23.695","23.400","54.62K","0.26%"
"Nov 23, 2021","23.435","24.210","24.340","23.280","93.87K","-3.55%"
"Nov 22, 2021","24.297","24.670","24.955","24.140","78.54K","-1.43%"
"Nov 21, 2021","24.650","24.655","24.688","24.555","-","-0.53%"
"Nov 19, 2021","24.781","24.850","25.040","24.610","67.98K","-0.48%"
"Nov 18, 2021","24.900","25.150","25.230","24.730","63.62K","-1.06%"
"Nov 17, 2021","25.167","24.860","25.285","24.850","54.35K","0.89%"
"Nov 16, 2021","24.944","25.135","25.490","24.825","77.00K","-0.64%"
"Nov 15, 2021","25.105","25.425","25.465","24.970","68.48K","-1.27%"
"Nov 14, 2021","25.427","25.413","25.462","25.390","-","0.32%"
"Nov 12, 2021","25.346","25.350","25.470","24.925","66.39K","0.18%"
"Nov 11, 2021","25.301","24.710","25.365","24.645","82.02K","2.14%"
"Nov 10, 2021","24.772","24.375","25.220","24.040","131.56K","1.87%"
"Nov 09, 2021","24.318","24.550","24.565","24.090","65.11K","-0.91%"
"Nov 08, 2021","24.542","24.285","24.590","24.130","67.62K","1.35%"
"Nov 07, 2021","24.215","24.212","24.277","24.210","-","0.24%"
"Nov 05, 2021","24.157","23.870","24.255","23.665","73.24K","1.03%"
"Nov 04, 2021","23.911","23.530","24.115","23.485","68.46K","2.93%"
"Nov 03, 2021","23.231","23.570","23.665","23.045","67.16K","-1.17%"
"Nov 02, 2021","23.507","24.130","24.140","23.430","63.00K","-2.35%"
"Nov 01, 2021","24.073","23.985","24.175","23.810","37.06K","0.98%"
