"Date","Close","Open","High","Low","Change %"
"2022-Jan-28","87.79","87.83","89.31","86.93","-0.08%"
"2022-Jan-27","87.86","87.84","89.05","86.70","-0.03%"
"2022-Jan-26","87.89","85.84","88.46","85.50","2.36%"
"2022-Jan-25","85.86","84.72","86.23","83.52","1.37%"
"2022-Jan-24","84.70","86.39","86.64","82.44","-1.96%"
"2022-Jan-23","86.39","85.52","86.42","85.30","1.12%"
"2022-Jan-21","85.43","84.67","86.16","83.38","0.90%"
"2022-Jan-20","84.67","85.61","87.71","84.59","-1.06%"
"2022-Jan-19","85.58","86.75","87.42","85.56","-1.35%"
"2022-Jan-18","86.75","84.33","86.94","84.22","2.87%"
"2022-Jan-17","84.33","84.49","84.62","83.58","-0.20%"
"2022-Jan-16","84.50","84.50","84.75","84.33","0.18%"
"2022-Jan-14","84.35","82.02","84.49","81.78","2.83%"
"2022-Jan-13","82.03","82.86","83.04","81.61","-1.00%"
"2022-Jan-12","82.86","81.42","83.21","81.28","1.77%"
"2022-Jan-11","81.42","78.72","81.72","78.50","3.46%"
"2022-Jan-10","78.70","78.72","79.58","77.98","0.00%"
"2022-Jan-09","78.70","79.03","79.23","78.50","-0.47%"
"2022-Jan-07","79.07","79.67","80.64","78.72","-0.78%"
"2022-Jan-06","79.69","77.38","80.43","76.92","2.97%"
"2022-Jan-05","77.39","77.23","78.76","76.72","0.18%"
"2022-Jan-04","77.25","76.19","77.84","75.92","1.42%"
"2022-Jan-03","76.17","76.05","76.65","74.50","0.18%"
"2022-Jan-02","76.03","75.83","76.12","75.83","0.53%"
"2021-Dec-31","75.63","76.59","77.33","75.22","-1.28%"
"2021-Dec-30","76.61","76.81","77.71","76.06","-0.30%"
"2021-Dec-29","76.84","76.41","77.66","75.67","0.55%"
"2021-Dec-28","76.42","76.11","77.22","75.83","0.37%"
"2021-Dec-27","76.14","73.62","76.40","72.88","3.44%"
"2021-Dec-26","73.61","73.69","73.77","73.39","-0.61%"
"2021-Dec-23","74.06","73.42","74.31","72.64","0.87%"
"2021-Dec-22","73.42","71.61","73.56","71.22","2.53%"
"2021-Dec-21","71.61","69.58","71.91","68.92","2.95%"
"2021-Dec-20","69.56","69.64","69.89","66.48","-0.07%"
"2021-Dec-19","69.61","70.28","70.28","69.20","-1.30%"
"2021-Dec-17","70.53","72.09","72.45","70.16","-2.15%"
"2021-Dec-16","72.08","71.81","73.17","71.28","0.35%"
"2021-Dec-15","71.83","70.55","71.94","69.64","1.87%"
"2021-Dec-14","70.51","71.48","72.22","69.76","-1.34%"
"2021-Dec-13","71.47","72.73","73.22","70.94","-1.72%"
"2021-Dec-12","72.72","72.34","72.78","72.28","0.62%"
"2021-Dec-10","72.27","70.86","72.63","70.66","2.02%"
"2021-Dec-09","70.84","72.93","73.67","70.72","-2.88%"
"2021-Dec-08","72.94","72.22","73.37","71.28","1.00%"
"2021-Dec-07","72.22","70.14","73.41","70.06","2.94%"
"2021-Dec-06","70.16","67.94","70.56","67.70","3.25%"
"2021-Dec-05","67.95","67.25","68.05","67.25","1.81%"
"2021-Dec-03","66.74","67.83","69.69","66.08","-1.62%"
"2021-Dec-02","67.84","66.75","68.45","62.98","1.60%"
"2021-Dec-01","66.77","67.48","70.03","65.38","-1.04%"
"2021-Nov-30","67.47","71.44","71.78","64.98","-5.53%"
"2021-Nov-29","71.42","72.02","73.56","69.52","-0.81%"
"2021-Nov-28","72.00","70.16","72.31","70.16","4.51%"
"2021-Nov-26","68.89","78.19","78.33","68.08","-11.87%"
"2021-Nov-25","78.17","79.19","79.47","78.06","-1.26%"
"2021-Nov-24","79.17","79.08","80.06","78.83","0.11%"
"2021-Nov-23","79.08","77.25","79.74","76.14","2.36%"
"2021-Nov-22","77.26","76.44","78.05","76.03","1.10%"
"2021-Nov-21","76.42","76.64","76.64","75.66","-0.27%"
"2021-Nov-19","76.63","79.30","80.34","76.09","-3.38%"
"2021-Nov-18","79.31","78.55","79.83","77.47","0.99%"
"2021-Nov-17","78.53","80.61","80.61","78.01","-2.58%"
"2021-Nov-16","80.61","80.81","81.81","80.09","-0.24%"
"2021-Nov-15","80.80","81.00","81.09","79.42","-0.27%"
"2021-Nov-14","81.02","80.92","81.19","80.86","0.27%"
"2021-Nov-12","80.80","81.50","81.73","79.94","-0.86%"
"2021-Nov-11","81.50","81.72","82.47","80.39","-0.27%"
"2021-Nov-10","81.72","84.84","84.91","81.00","-3.67%"
"2021-Nov-09","84.83","82.25","85.14","82.00","3.12%"
"2021-Nov-08","82.26","81.75","82.89","81.55","0.60%"
"2021-Nov-07","81.77","81.36","81.97","81.36","0.41%"
"2021-Nov-05","81.44","80.05","82.07","79.25","1.74%"
"2021-Nov-04","80.05","80.67","83.70","78.57","-0.76%"
"2021-Nov-03","80.66","83.26","83.31","80.02","-3.15%"
"2021-Nov-02","83.28","84.22","84.77","82.89","-1.13%"
"2021-Nov-01","84.23","83.36","85.25","83.17","1.07%"
"2021-Oct-31","83.34","83.47","83.59","83.11","-0.39%"
"2021-Oct-29","83.67","83.19","84.17","81.84","0.61%"
"2021-Oct-28","83.16","82.66","83.66","81.11","0.59%"
"2021-Oct-27","82.67","84.75","84.97","82.48","-2.40%"
"2021-Oct-26","84.70","84.31","85.36","83.47","0.46%"
"2021-Oct-25","84.31","84.58","85.92","83.89","-0.32%"
"2021-Oct-24","84.58","84.53","84.78","84.28","0.02%"
"2021-Oct-22","84.56","82.89","84.79","82.33","2.03%"
"2021-Oct-21","82.88","84.20","84.53","81.38","-1.63%"
"2021-Oct-20","84.25","83.16","84.36","81.39","1.36%"
"2021-Oct-19","83.12","82.23","83.61","81.70","1.06%"
"2021-Oct-18","82.25","83.03","83.83","81.85","-0.90%"
"2021-Oct-17","83.00","82.64","83.17","82.64","0.52%"
"2021-Oct-15","82.57","81.77","82.67","81.64","0.97%"
"2021-Oct-14","81.78","80.83","81.91","80.48","1.18%"
"2021-Oct-13","80.83","80.40","81.11","79.50","0.56%"
"2021-Oct-12","80.38","80.50","81.69","79.56","-0.12%"
"2021-Oct-11","80.48","79.77","82.25","79.72","0.88%"
"2021-Oct-10","79.78","79.70","80.39","79.70","0.13%"
"2021-Oct-08","79.68","78.92","80.22","78.75","0.94%"
"2021-Oct-07","78.94","77.28","79.05","75.09","2.11%"
"2021-Oct-06","77.31","79.14","79.91","76.96","-2.29%"
"2021-Oct-05","79.12","77.70","79.61","77.61","1.84%"
"2021-Oct-04","77.69","76.00","78.51","75.47","2.26%"
"2021-Oct-03","75.97","76.12","76.27","75.88","0.12%"
"2021-Oct-01","75.88","75.45","76.14","74.39","0.58%"
"2021-Sep-30","75.44","74.83","76.24","73.33","0.77%"
"2021-Sep-29","74.86","74.64","75.96","73.92","0.29%"
"2021-Sep-28","74.64","75.59","76.86","74.44","-1.24%"
"2021-Sep-27","75.58","75.02","75.94","74.78","0.73%"
"2021-Sep-26","75.03","74.47","75.03","74.38","1.12%"
"2021-Sep-24","74.20","73.52","74.48","73.03","0.95%"
"2021-Sep-23","73.50","72.17","73.72","71.84","1.81%"
"2021-Sep-22","72.19","70.95","72.53","70.88","1.72%"
"2021-Sep-21","70.97","70.89","71.70","69.64","0.11%"
"2021-Sep-20","70.89","71.76","71.89","69.97","-1.20%"
"2021-Sep-19","71.75","72.03","72.16","71.61","-0.47%"
"2021-Sep-17","72.09","72.61","72.73","71.31","-0.72%"
"2021-Sep-16","72.61","72.56","73.00","71.59","0.03%"
"2021-Sep-15","72.59","70.88","73.16","70.72","2.47%"
"2021-Sep-14","70.84","70.67","71.25","70.04","0.21%"
"2021-Sep-13","70.69","70.17","71.03","69.89","0.74%"
"2021-Sep-12","70.17","69.69","70.22","69.58","0.60%"
"2021-Sep-10","69.75","68.03","70.03","67.78","2.53%"
"2021-Sep-09","68.03","69.31","69.97","67.67","-1.88%"
"2021-Sep-08","69.33","68.55","69.84","68.44","1.17%"
"2021-Sep-07","68.53","68.92","69.50","67.75","-0.52%"
"2021-Sep-06","68.89","68.86","69.58","68.36","0.04%"
"2021-Sep-05","68.86","69.27","69.36","68.83","-0.56%"
"2021-Sep-03","69.25","69.88","70.64","69.23","-0.87%"
"2021-Sep-02","69.86","68.33","70.75","67.98","2.22%"
"2021-Sep-01","68.34","68.64","69.38","67.27","-0.44%"
"2021-Aug-31","68.64","69.28","69.48","68.33","-0.92%"
"2021-Aug-30","69.28","69.52","69.52","67.83","-0.32%"
"2021-Aug-29","69.50","69.47","69.77","69.05","0.89%"
"2021-Aug-27","68.89","68.00","69.22","67.69","1.31%"
"2021-Aug-26","68.00","68.14","68.47","67.22","-0.25%"
"2021-Aug-25","68.17","67.56","68.72","67.12","0.83%"
"2021-Aug-24","67.61","65.72","67.99","65.61","2.86%"
"2021-Aug-23","65.73","62.49","66.18","62.49","5.15%"
"2021-Aug-22","62.51","62.03","62.63","61.98","0.73%"
"2021-Aug-20","62.06","63.84","64.23","62.05","-2.82%"
"2021-Aug-19","63.86","64.77","64.77","62.63","-1.30%"
"2021-Aug-18","64.70","66.61","67.52","64.38","-2.84%"
"2021-Aug-17","66.59","67.61","67.73","66.38","-1.55%"
"2021-Aug-16","67.64","68.13","68.18","65.80","-0.70%"
"2021-Aug-15","68.12","67.97","68.31","67.88","0.03%"
"2021-Aug-13","68.10","68.92","69.29","67.88","-1.18%"
"2021-Aug-12","68.91","69.42","69.70","68.56","-0.69%"
"2021-Aug-11","69.39","68.58","69.52","66.77","1.18%"
"2021-Aug-10","68.58","67.08","68.98","66.67","2.28%"
"2021-Aug-09","67.05","67.27","67.34","65.26","-0.37%"
"2021-Aug-08","67.30","67.94","67.95","66.81","-1.06%"
"2021-Aug-06","68.02","69.17","70.31","67.95","-1.66%"
"2021-Aug-05","69.17","68.25","69.49","67.76","1.35%"
"2021-Aug-04","68.25","70.58","70.95","68.01","-3.27%"
"2021-Aug-03","70.56","71.58","72.11","69.39","-1.40%"
"2021-Aug-02","71.56","73.91","73.94","70.75","-3.19%"
"2021-Aug-01","73.92","74.02","74.11","73.91","-0.03%"
"2021-Jul-30","73.94","73.53","74.44","73.16","0.57%"
"2021-Jul-29","73.52","72.62","73.89","72.48","1.21%"
"2021-Jul-28","72.64","72.23","72.83","71.94","0.58%"
"2021-Jul-27","72.22","72.31","72.56","71.33","-0.15%"
"2021-Jul-26","72.33","72.39","72.55","70.83","-0.17%"
"2021-Jul-23","72.45","72.00","72.46","71.69","0.62%"
"2021-Jul-22","72.00","70.53","72.31","70.14","2.08%"
"2021-Jul-21","70.53","67.06","70.80","66.78","5.22%"
"2021-Jul-20","67.03","67.17","67.89","65.38","-0.24%"
"2021-Jul-19","67.19","71.42","71.44","65.89","-5.92%"
"2021-Jul-18","71.42","71.36","71.69","71.00","-0.14%"
"2021-Jul-16","71.52","71.42","72.34","70.47","0.11%"
"2021-Jul-15","71.44","72.88","73.00","71.38","-1.95%"
"2021-Jul-14","72.86","75.11","75.53","72.34","-3.01%"
"2021-Jul-13","75.12","74.34","75.59","73.78","1.06%"
"2021-Jul-12","74.33","74.81","74.91","73.28","-0.67%"
"2021-Jul-11","74.83","74.97","74.97","74.75","0.07%"
"2021-Jul-09","74.78","73.36","74.92","72.89","1.89%"
"2021-Jul-08","73.39","72.28","73.50","70.94","1.54%"
"2021-Jul-07","72.28","73.75","75.06","71.27","-2.02%"
