"Date","Price","Open","High","Low","Change %"
"Jan 28, 2022","22.416","22.777","22.855","22.140","-1.42%"
"Jan 27, 2022","22.740","23.495","23.608","22.565","-3.16%"
"Jan 26, 2022","23.482","23.820","23.995","23.435","-1.40%"
"Jan 25, 2022","23.815","23.990","24.045","23.595","-0.58%"
"Jan 24, 2022","23.954","24.280","24.319","23.560","-1.14%"
"Jan 21, 2022","24.230","24.450","24.595","24.170","-0.82%"
"Jan 20, 2022","24.430","24.149","24.755","24.073","1.27%"
"Jan 19, 2022","24.124","23.470","24.245","23.385","2.87%"
"Jan 18, 2022","23.450","23.025","23.655","22.800","1.96%"
"Jan 17, 2022","23.000","22.960","23.135","22.828","0.22%"
"Jan 14, 2022","22.950","23.090","23.345","22.823","-0.53%"
"Jan 13, 2022","23.072","23.130","23.305","22.995","-0.18%"
"Jan 12, 2022","23.112","22.785","23.255","22.640","1.53%"
"Jan 11, 2022","22.763","22.475","22.845","22.445","1.39%"
"Jan 10, 2022","22.451","22.358","22.565","22.190","0.68%"
"Jan 07, 2022","22.300","22.180","22.445","21.949","0.67%"
"Jan 06, 2022","22.152","22.798","22.855","21.995","-2.73%"
"Jan 05, 2022","22.773","23.055","23.275","22.725","-1.11%"
"Jan 04, 2022","23.030","22.895","23.135","22.630","0.74%"
"Jan 03, 2022","22.860","23.325","23.415","22.675","-1.75%"
"Dec 31, 2021","23.268","23.055","23.355","23.025","1.03%"
"Dec 30, 2021","23.032","22.824","23.155","22.595","0.98%"
"Dec 29, 2021","22.807","23.010","23.185","22.585","-0.81%"
"Dec 28, 2021","22.992","23.075","23.465","22.960","-0.21%"
"Dec 27, 2021","23.040","22.855","23.135","22.645","0.44%"
"Dec 24, 2021","22.940","22.905","22.995","22.875","0.22%"
"Dec 23, 2021","22.890","22.798","22.965","22.655","0.52%"
"Dec 22, 2021","22.773","22.520","22.865","22.435","1.26%"
"Dec 21, 2021","22.490","22.260","22.795","22.180","1.16%"
"Dec 20, 2021","22.232","22.410","22.485","22.185","-0.52%"
"Dec 17, 2021","22.347","22.490","22.695","22.360","-0.50%"
"Dec 16, 2021","22.460","22.080","22.545","21.907","1.86%"
"Dec 15, 2021","22.050","21.946","22.135","21.430","0.57%"
"Dec 14, 2021","21.926","22.330","22.375","21.690","-1.72%"
"Dec 13, 2021","22.310","22.180","22.435","22.140","0.67%"
"Dec 10, 2021","22.163","21.955","22.240","21.815","1.07%"
"Dec 09, 2021","21.928","22.410","22.505","21.855","-2.07%"
"Dec 08, 2021","22.393","22.502","22.585","22.305","-0.34%"
"Dec 07, 2021","22.470","22.377","22.615","22.235","0.53%"
"Dec 06, 2021","22.352","22.586","22.614","22.126","-0.70%"
"Dec 03, 2021","22.509","22.390","22.595","22.035","0.60%"
"Dec 02, 2021","22.375","22.310","22.525","22.210","0.31%"
"Dec 01, 2021","22.306","22.820","23.045","22.177","-2.16%"
"Nov 30, 2021","22.798","22.915","23.335","22.690","-0.40%"
"Nov 29, 2021","22.890","23.145","23.485","22.750","-1.04%"
"Nov 26, 2021","23.131","23.600","23.735","22.915","-1.89%"
"Nov 25, 2021","23.575","23.550","23.775","23.513","0.19%"
"Nov 24, 2021","23.529","23.680","23.715","23.393","-0.52%"
"Nov 23, 2021","23.652","24.195","24.355","23.265","-2.13%"
"Nov 22, 2021","24.166","24.635","24.915","24.095","-1.72%"
"Nov 19, 2021","24.588","24.790","25.015","24.550","-0.77%"
"Nov 18, 2021","24.780","25.068","25.185","24.680","-1.08%"
"Nov 17, 2021","25.050","24.830","25.255","24.800","1.01%"
"Nov 16, 2021","24.801","25.065","25.425","24.765","-0.95%"
"Nov 15, 2021","25.039","25.315","25.390","24.905","-0.97%"
"Nov 12, 2021","25.285","25.250","25.405","24.845","0.22%"
"Nov 11, 2021","25.229","24.645","25.285","24.585","2.46%"
"Nov 10, 2021","24.624","24.305","25.135","24.060","1.42%"
"Nov 09, 2021","24.280","24.470","24.520","24.030","-0.65%"
"Nov 08, 2021","24.439","24.180","24.565","24.055","1.11%"
