"Date","Close","Open","High","Low","Change %"
"2022-Jan-28","1791.03","1796.94","1799.82","1779.88","-0.30%"
"2022-Jan-27","1796.51","1818.44","1822.51","1790.98","-1.19%"
"2022-Jan-26","1818.12","1847.99","1850.44","1814.90","-1.59%"
"2022-Jan-25","1847.56","1843.34","1853.98","1834.64","0.24%"
"2022-Jan-24","1843.06","1834.49","1844.53","1829.09","0.54%"
"2022-Jan-21","1833.24","1838.65","1843.53","1828.04","-0.28%"
"2022-Jan-20","1838.36","1840.30","1848.36","1835.67","-0.09%"
"2022-Jan-19","1839.96","1813.69","1843.72","1809.97","1.46%"
"2022-Jan-18","1813.54","1819.77","1823.01","1805.53","-0.30%"
"2022-Jan-17","1818.99","1817.90","1823.72","1812.67","0.10%"
"2022-Jan-14","1817.22","1822.55","1829.66","1814.13","-0.27%"
"2022-Jan-13","1822.09","1825.94","1828.38","1811.83","-0.18%"
"2022-Jan-12","1825.32","1822.49","1828.33","1814.20","0.18%"
"2022-Jan-11","1822.01","1801.69","1823.35","1800.09","1.14%"
"2022-Jan-10","1801.41","1795.41","1802.57","1790.43","0.32%"
"2022-Jan-07","1795.63","1789.55","1799.20","1782.63","0.39%"
"2022-Jan-06","1788.68","1809.94","1811.89","1786.03","-1.15%"
"2022-Jan-05","1809.53","1814.90","1829.82","1807.97","-0.28%"
"2022-Jan-04","1814.56","1801.34","1816.83","1798.44","0.76%"
"2022-Jan-03","1800.85","1830.14","1832.06","1797.93","-1.51%"
"2021-Dec-31","1828.39","1815.44","1830.58","1814.15","0.74%"
"2021-Dec-30","1815.01","1803.99","1817.44","1795.78","0.63%"
"2021-Dec-29","1803.66","1805.59","1808.16","1788.94","-0.09%"
"2021-Dec-28","1805.37","1811.84","1820.70","1804.38","-0.31%"
"2021-Dec-27","1810.90","1808.19","1813.74","1802.89","0.15%"
"2021-Dec-24","1808.11","1808.19","1812.70","1801.61","0.01%"
"2021-Dec-23","1807.91","1803.69","1811.02","1798.88","0.25%"
"2021-Dec-22","1803.40","1788.94","1805.13","1785.41","0.84%"
"2021-Dec-21","1788.36","1789.74","1800.85","1784.58","-0.05%"
"2021-Dec-20","1789.32","1799.40","1804.32","1787.98","-0.47%"
"2021-Dec-17","1797.68","1799.55","1814.63","1795.67","-0.07%"
"2021-Dec-16","1799.03","1777.40","1799.53","1775.43","1.24%"
"2021-Dec-15","1777.06","1770.49","1781.04","1753.84","0.39%"
"2021-Dec-14","1770.18","1787.19","1789.74","1766.31","-0.94%"
"2021-Dec-13","1786.94","1782.94","1791.78","1781.51","0.25%"
"2021-Dec-10","1782.51","1774.94","1789.47","1769.43","0.45%"
"2021-Dec-09","1774.46","1782.49","1788.05","1772.80","-0.43%"
"2021-Dec-08","1782.06","1784.40","1793.60","1779.45","-0.11%"
"2021-Dec-07","1784.04","1778.08","1788.02","1771.93","0.33%"
"2021-Dec-06","1778.11","1784.79","1787.87","1775.91","-0.32%"
"2021-Dec-03","1783.74","1768.84","1786.44","1765.63","0.85%"
"2021-Dec-02","1768.64","1783.05","1783.58","1761.68","-0.79%"
"2021-Dec-01","1782.66","1774.15","1794.80","1771.96","0.50%"
"2021-Nov-30","1773.78","1785.34","1809.38","1769.43","-0.63%"
"2021-Nov-29","1785.01","1790.05","1799.80","1781.23","-0.38%"
"2021-Nov-26","1791.81","1788.70","1815.78","1780.79","0.19%"
"2021-Nov-25","1788.45","1789.49","1795.65","1785.85","-0.00%"
"2021-Nov-24","1788.50","1790.34","1797.01","1778.44","-0.07%"
"2021-Nov-23","1789.73","1805.65","1812.50","1781.63","-0.85%"
"2021-Nov-22","1805.04","1846.74","1849.49","1801.95","-2.14%"
"2021-Nov-19","1844.60","1858.90","1865.76","1842.98","-0.75%"
"2021-Nov-18","1858.46","1866.97","1871.29","1854.94","-0.46%"
"2021-Nov-17","1866.96","1850.34","1868.32","1849.38","0.92%"
"2021-Nov-16","1849.91","1862.94","1877.40","1849.16","-0.67%"
"2021-Nov-15","1862.46","1868.15","1870.57","1855.73","-0.09%"
"2021-Nov-12","1864.04","1861.99","1868.69","1844.78","0.14%"
"2021-Nov-11","1861.52","1849.69","1866.35","1842.66","0.65%"
"2021-Nov-10","1849.57","1831.90","1868.70","1821.60","0.99%"
"2021-Nov-09","1831.48","1824.74","1833.08","1817.70","0.40%"
"2021-Nov-08","1824.26","1818.44","1826.93","1812.08","0.41%"
"2021-Nov-05","1816.73","1792.14","1818.61","1785.17","1.40%"
"2021-Nov-04","1791.70","1769.98","1799.26","1769.13","1.25%"
"2021-Nov-03","1769.54","1787.71","1788.42","1758.45","-0.99%"
"2021-Nov-02","1787.28","1793.61","1796.91","1785.78","-0.32%"
"2021-Nov-01","1793.05","1783.24","1796.20","1778.89","0.57%"
"2021-Oct-29","1782.81","1799.03","1801.49","1771.70","-0.88%"
"2021-Oct-28","1798.62","1796.78","1810.49","1792.34","0.11%"
"2021-Oct-27","1796.69","1793.04","1799.38","1782.83","0.23%"
"2021-Oct-26","1792.63","1807.90","1808.50","1781.98","-0.83%"
"2021-Oct-25","1807.71","1794.00","1810.18","1791.95","0.85%"
"2021-Oct-22","1792.48","1782.89","1814.22","1782.46","0.55%"
"2021-Oct-21","1782.76","1782.10","1789.61","1776.07","0.05%"
"2021-Oct-20","1781.83","1769.28","1788.68","1766.50","0.73%"
"2021-Oct-19","1768.88","1764.99","1785.53","1762.48","0.24%"
"2021-Oct-18","1764.58","1767.74","1772.30","1759.68","-0.15%"
"2021-Oct-15","1767.26","1795.81","1796.89","1764.48","-1.58%"
"2021-Oct-14","1795.56","1792.75","1800.91","1786.22","0.16%"
"2021-Oct-13","1792.65","1760.05","1796.31","1757.89","1.86%"
"2021-Oct-12","1759.93","1754.12","1769.78","1750.47","0.35%"
"2021-Oct-11","1753.86","1757.34","1761.36","1749.68","-0.16%"
"2021-Oct-08","1756.67","1755.89","1781.60","1753.03","0.08%"
"2021-Oct-07","1755.29","1762.74","1767.45","1751.38","-0.41%"
"2021-Oct-06","1762.48","1760.45","1765.78","1745.45","0.14%"
"2021-Oct-05","1759.96","1769.75","1771.03","1748.56","-0.54%"
"2021-Oct-04","1769.51","1762.15","1771.06","1747.23","0.52%"
"2021-Oct-01","1760.36","1756.91","1764.40","1749.36","0.21%"
"2021-Sep-30","1756.66","1726.40","1764.53","1721.67","1.74%"
"2021-Sep-29","1726.53","1733.97","1746.11","1721.07","-0.41%"
"2021-Sep-28","1733.68","1750.45","1754.80","1727.18","-0.92%"
"2021-Sep-27","1749.85","1751.24","1761.29","1744.19","-0.00%"
"2021-Sep-24","1749.86","1742.82","1758.08","1739.60","0.42%"
"2021-Sep-23","1742.57","1768.40","1776.60","1737.84","-1.43%"
"2021-Sep-22","1767.91","1774.51","1787.51","1764.84","-0.36%"
"2021-Sep-21","1774.25","1764.19","1782.07","1757.61","0.59%"
