"Date","Price","Open","High","Low","Change %"
"Jan 28, 2022","89.82","89.51","91.09","88.97","0.14%"
"Jan 27, 2022","89.69","89.34","90.59","88.63","0.35%"
"Jan 26, 2022","89.38","87.84","90.15","87.56","1.67%"
"Jan 25, 2022","87.91","86.75","88.23","86.15","0.83%"
"Jan 24, 2022","87.19","88.69","88.95","85.10","-1.70%"
"Jan 23, 2022","88.70","87.97","88.70","87.69","1.01%"
"Jan 21, 2022","87.81","86.75","88.30","85.79","0.35%"
"Jan 20, 2022","87.50","87.90","89.58","87.14","-0.32%"
"Jan 19, 2022","87.78","88.79","89.25","87.70","-0.99%"
"Jan 18, 2022","88.66","86.59","88.75","86.53","2.33%"
"Jan 17, 2022","86.64","86.64","86.80","85.65","-0.01%"
"Jan 16, 2022","86.65","86.56","86.80","86.43","0.20%"
"Jan 14, 2022","86.48","84.21","86.62","84.12","2.67%"
"Jan 13, 2022","84.23","84.98","85.19","83.92","-0.84%"
"Jan 12, 2022","84.94","83.94","85.33","83.65","1.24%"
"Jan 11, 2022","83.90","81.30","84.11","81.02","3.40%"
"Jan 10, 2022","81.14","81.60","82.43","80.64","-0.55%"
"Jan 09, 2022","81.59","82.03","82.03","81.41","-0.43%"
"Jan 07, 2022","81.94","82.15","83.15","81.61","-0.22%"
"Jan 06, 2022","82.12","80.33","82.98","79.77","2.19%"
"Jan 05, 2022","80.36","80.23","81.65","79.72","0.04%"
"Jan 04, 2022","80.33","79.07","80.72","78.78","1.57%"
"Jan 03, 2022","79.09","78.58","79.43","77.20","0.66%"
"Jan 02, 2022","78.57","78.28","78.65","78.28","0.61%"
"Dec 31, 2021","78.09","79.03","79.87","77.74","-1.53%"
"Dec 30, 2021","79.30","79.29","80.21","78.61","-0.14%"
"Dec 29, 2021","79.41","79.16","80.23","78.31","0.44%"
"Dec 28, 2021","79.06","78.50","79.68","78.27","0.32%"
"Dec 27, 2021","78.81","76.34","78.88","75.59","3.26%"
"Dec 26, 2021","76.32","76.41","76.45","76.05","0.67%"
"Dec 24, 2021","75.81","76.77","76.77","75.62","-1.22%"
"Dec 23, 2021","76.75","75.68","77.02","75.00","1.23%"
"Dec 22, 2021","75.82","74.28","75.88","73.87","2.18%"
"Dec 21, 2021","74.20","72.13","74.52","71.48","2.61%"
"Dec 20, 2021","72.31","72.37","72.69","69.54","-0.04%"
"Dec 19, 2021","72.34","72.97","72.98","71.97","-1.35%"
"Dec 17, 2021","73.33","74.90","75.32","72.99","-2.15%"
"Dec 16, 2021","74.94","74.80","75.95","74.36","0.25%"
"Dec 15, 2021","74.75","73.62","74.96","72.88","1.56%"
"Dec 14, 2021","73.60","74.88","75.56","72.97","-1.42%"
"Dec 13, 2021","74.66","76.31","76.83","74.62","-2.16%"
