"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 27, 2021","5,675","5,725","5,750","5,650","20.43M","0.00%"
"Dec 24, 2021","5,675","5,725","5,750","5,650","16.20M","-0.87%"
"Dec 23, 2021","5,725","5,650","5,750","5,625","21.74M","1.78%"
"Dec 22, 2021","5,625","5,700","5,775","5,625","33.73M","-0.44%"
"Dec 21, 2021","5,650","5,675","5,750","5,650","29.13M","-0.44%"
"Dec 20, 2021","5,675","5,750","5,775","5,675","26.29M","-2.16%"
"Dec 17, 2021","5,800","5,800","5,825","5,725","55.85M","0.00%"
"Dec 16, 2021","5,800","6,025","6,050","5,800","56.93M","-3.33%"
"Dec 15, 2021","6,000","5,900","6,050","5,875","51.11M","2.13%"
"Dec 14, 2021","5,875","5,925","5,925","5,850","17.23M","-0.42%"
"Dec 13, 2021","5,900","5,925","5,975","5,875","30.66M","-0.42%"
"Dec 10, 2021","5,925","5,950","5,950","5,800","55.63M","-1.25%"
"Dec 09, 2021","6,000","5,900","6,000","5,800","35.39M","3.45%"
"Dec 08, 2021","5,800","5,925","5,950","5,775","44.19M","-2.11%"
"Dec 07, 2021","5,925","5,700","5,925","5,700","39.68M","4.87%"
"Dec 06, 2021","5,650","5,750","5,800","5,650","53.11M","-1.74%"
"Dec 03, 2021","5,750","5,900","5,925","5,725","31.88M","-1.71%"
"Dec 02, 2021","5,850","5,650","5,875","5,600","48.42M","3.54%"
"Dec 01, 2021","5,650","5,825","5,850","5,625","102.41M","-2.16%"
"Nov 30, 2021","5,775","5,950","5,975","5,750","97.59M","-3.35%"
"Nov 29, 2021","5,975","5,900","6,000","5,750","87.37M","1.27%"
