Date;Open;High;Low;Close;Adj Close;Volume
28/12/2020;6.175;6.175;5.950;6.075;5.931.702.637;32572200
29/12/2020;6.100;6.175;6.000;6.050;5.907.291.992;40341500
30/12/2020;6.100;6.125;6.025;6.025;5.882.881.836;39615400
04/01/2021;6.100;6.250;6.025;6.225;6.078.164.063;34840200
05/01/2021;6.225;6.250;6.150;6.175;6.029.343.750;27318400
06/01/2021;6.175;6.225;5.950;6.150;6.004.933.594;42778200
07/01/2021;6.175;6.200;6.075;6.075;5.931.702.637;33536400
08/01/2021;6.150;6.475;6.100;6.425;6.273.446.777;88590400
11/01/2021;6.500;6.600;6.475;6.525;6.371.088.379;57622400
12/01/2021;6.425;6.650;6.400;6.525;6.371.088.379;38226200
13/01/2021;6.600;6.800;6.500;6.775;6.615.190.918;56171600
14/01/2021;6.850;6.925;6.775;6.775;6.615.190.918;48209800
15/01/2021;6.800;6.850;6.525;6.575;6.419.908.691;45722300
18/01/2021;6.575;6.700;6.525;6.675;6.517.549.805;48444700
19/01/2021;6.775;6.775;6.575;6.675;6.517.549.805;37236400
20/01/2021;6.625;6.775;6.625;6.675;6.517.549.805;27403000
21/01/2021;6.800;6.800;6.725;6.800;6.639.601.563;32219700
22/01/2021;6.825;6.850;6.600;6.700;6.541.959.961;34960500
25/01/2021;6.650;6.650;6.325;6.475;6.322.267.090;73391700
26/01/2021;6.475;6.575;6.300;6.350;6.200.215.820;39158300
27/01/2021;6.350;6.350;6.150;6.275;6.126.984.863;56444100
28/01/2021;6.150;6.450;6.150;6.275;6.126.984.863;54596400
29/01/2021;6.300;6.375;5.950;6.100;5.956.113.281;71886200
01/02/2021;5.850;6.075;5.750;6.025;5.882.881.836;57416200
02/02/2021;6.150;6.150;5.875;5.975;5.834.061.523;42421400
03/02/2021;6.075;6.275;5.950;6.150;6.004.933.594;76420800
04/02/2021;6.225;6.225;6.125;6.200;6.053.753.906;29508100
05/02/2021;6.250;6.250;6.050;6.100;5.956.113.281;34366600
08/02/2021;6.200;6.200;6.075;6.100;5.956.113.281;28817400
09/02/2021;6.100;6.200;5.825;5.825;5.687.599.609;113795000
10/02/2021;5.850;5.975;5.825;5.900;5.760.830.566;43492200
11/02/2021;5.875;5.950;5.825;5.850;5.712.010.254;37890700
15/02/2021;6.100;6.250;5.950;5.950;5.809.650.879;178642200
16/02/2021;5.975;6.000;5.900;5.925;5.785.240.723;35796600
17/02/2021;5.900;5.925;5.750;5.800;5.663.188.965;56517500
18/02/2021;5.750;5.875;5.725;5.725;5.589.958.496;56765900
19/02/2021;5.725;5.850;5.725;5.775;5.638.778.809;42627800
22/02/2021;5.825;5.850;5.700;5.700;5.565.548.340;55230300
23/02/2021;5.700;5.825;5.700;5.725;5.589.958.496;60745000
24/02/2021;5.775;5.850;5.600;5.625;5.492.317.383;73050200
25/02/2021;5.700;5.700;5.475;5.575;5.443.496.582;123672200
26/02/2021;5.450;5.525;5.350;5.400;5.272.624.512;146271500
01/03/2021;5.500;5.600;5.450;5.600;5.467.906.738;118418900
02/03/2021;5.650;5.675;5.550;5.575;5.443.496.582;87061500
03/03/2021;5.625;5.700;5.525;5.675;5.541.137.695;49030200
04/03/2021;5.675;5.700;5.525;5.575;5.443.496.582;70766800
05/03/2021;5.525;5.575;5.475;5.500;5.370.265.625;48034400
08/03/2021;5.550;5.625;5.475;5.550;5.419.086.426;55652900
09/03/2021;5.550;5.650;5.400;5.525;5.394.675.781;66908800
10/03/2021;5.500;5.525;5.400;5.425;5.297.035.156;66154200
