"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 27, 2021","4,060","4,070","4,110","4,060","65.49M","-0.25%"
"Dec 24, 2021","4,070","4,100","4,120","4,050","59.80M","-0.73%"
"Dec 23, 2021","4,100","4,090","4,110","4,060","72.74M","1.23%"
"Dec 22, 2021","4,050","4,100","4,110","4,050","104.74M","-0.74%"
"Dec 21, 2021","4,080","4,100","4,120","4,080","109.56M","-0.97%"
"Dec 20, 2021","4,120","4,070","4,130","4,060","89.20M","0.24%"
"Dec 17, 2021","4,110","4,090","4,140","4,090","153.16M","-0.72%"
"Dec 16, 2021","4,140","4,220","4,220","4,120","136.65M","-1.43%"
"Dec 15, 2021","4,200","4,150","4,230","4,140","124.52M","1.69%"
"Dec 14, 2021","4,130","4,150","4,160","4,130","100.11M","-0.72%"
"Dec 13, 2021","4,160","4,170","4,200","4,160","86.85M","0.73%"
"Dec 10, 2021","4,130","4,130","4,160","4,130","123.00M","-1.43%"
"Dec 09, 2021","4,190","4,220","4,220","4,160","90.47M","-0.48%"
"Dec 08, 2021","4,210","4,250","4,250","4,170","143.23M","-0.47%"
"Dec 07, 2021","4,230","4,190","4,230","4,160","182.05M","2.92%"
"Dec 06, 2021","4,110","4,200","4,220","4,110","106.61M","-1.44%"
"Dec 03, 2021","4,170","4,210","4,220","4,170","93.23M","-0.71%"
"Dec 02, 2021","4,200","4,060","4,220","4,060","139.28M","2.94%"
"Dec 01, 2021","4,080","4,090","4,180","4,070","163.46M","-0.24%"
"Nov 30, 2021","4,090","4,150","4,220","4,090","316.65M","-1.92%"
"Nov 29, 2021","4,170","4,150","4,190","4,080","164.31M","0.24%"
