"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 27, 2021","2,700","2,730","2,730","2,690","6.82M","-0.37%"
"Dec 24, 2021","2,710","2,700","2,740","2,670","15.49M","0.37%"
"Dec 23, 2021","2,700","2,710","2,720","2,680","9.18M","0.00%"
"Dec 22, 2021","2,700","2,700","2,720","2,690","18.02M","0.37%"
"Dec 21, 2021","2,690","2,660","2,690","2,650","12.44M","1.51%"
"Dec 20, 2021","2,650","2,690","2,700","2,650","22.01M","-2.93%"
"Dec 17, 2021","2,730","2,700","2,730","2,660","17.00M","1.87%"
"Dec 16, 2021","2,680","2,730","2,730","2,660","23.60M","-0.74%"
"Dec 15, 2021","2,700","2,730","2,770","2,700","34.56M","-1.10%"
"Dec 14, 2021","2,730","2,710","2,730","2,670","16.52M","0.74%"
"Dec 13, 2021","2,710","2,750","2,750","2,710","19.06M","-1.09%"
"Dec 10, 2021","2,740","2,720","2,740","2,650","30.83M","0.74%"
"Dec 09, 2021","2,720","2,740","2,750","2,710","15.64M","0.00%"
"Dec 08, 2021","2,720","2,750","2,760","2,710","15.04M","-1.09%"
"Dec 07, 2021","2,750","2,770","2,800","2,710","21.65M","0.00%"
"Dec 06, 2021","2,750","2,710","2,750","2,690","22.38M","1.48%"
"Dec 03, 2021","2,710","2,740","2,750","2,690","15.29M","-1.09%"
"Dec 02, 2021","2,740","2,600","2,760","2,590","53.40M","5.38%"
"Dec 01, 2021","2,600","2,580","2,650","2,580","19.84M","0.00%"
"Nov 30, 2021","2,600","2,610","2,640","2,580","29.61M","-2.26%"
"Nov 29, 2021","2,660","2,520","2,670","2,520","26.06M","2.31%"
