"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 24, 2022","450","460","462","446","49.90M","-3.85%"
"Jan 21, 2022","468","456","468","456","13.82M","2.63%"
"Jan 20, 2022","456","456","462","454","15.71M","0.00%"
"Jan 19, 2022","456","450","464","450","41.26M","1.33%"
"Jan 18, 2022","450","454","460","450","51.46M","0.00%"
"Jan 17, 2022","450","438","454","438","36.31M","2.74%"
"Jan 14, 2022","438","442","446","436","34.91M","-0.90%"
"Jan 13, 2022","442","450","454","440","52.62M","-1.78%"
"Jan 12, 2022","450","468","472","446","41.16M","-3.85%"
"Jan 11, 2022","468","476","476","466","17.48M","-2.09%"
"Jan 10, 2022","478","480","480","472","44.43M","-0.42%"
"Jan 07, 2022","480","480","484","474","20.68M","0.00%"
"Jan 06, 2022","480","478","480","472","11.02M","0.84%"
"Jan 05, 2022","476","480","482","470","37.79M","-0.83%"
"Jan 04, 2022","480","470","484","470","32.46M","2.13%"
"Jan 03, 2022","470","464","472","464","12.39M","1.29%"
"Dec 30, 2021","464","476","476","464","21.21M","-2.52%"
"Dec 29, 2021","476","476","478","470","12.52M","-0.42%"
"Dec 28, 2021","478","470","480","468","16.23M","2.58%"
"Dec 27, 2021","466","460","468","458","18.17M","1.30%"
"Dec 24, 2021","460","462","470","456","27.93M","-0.43%"
"Dec 23, 2021","462","462","466","460","15.54M","0.00%"
"Dec 22, 2021","462","476","480","462","22.85M","-2.94%"
"Dec 21, 2021","476","474","478","470","21.77M","0.85%"
"Dec 20, 2021","472","470","480","470","28.91M","0.43%"
"Dec 17, 2021","470","482","486","470","39.39M","-2.89%"
"Dec 16, 2021","484","494","498","482","24.61M","-1.63%"
"Dec 15, 2021","492","492","498","490","28.30M","0.00%"
"Dec 14, 2021","492","505","505","488","26.02M","-1.60%"
"Dec 13, 2021","500","486","505","484","52.54M","3.73%"
"Dec 10, 2021","482","480","488","478","18.00M","0.42%"
"Dec 09, 2021","480","488","490","480","20.92M","-1.64%"
"Dec 08, 2021","488","494","494","482","26.03M","0.41%"
"Dec 07, 2021","486","482","494","480","27.96M","2.10%"
"Dec 06, 2021","476","484","486","476","35.48M","-1.24%"
"Dec 03, 2021","482","478","488","472","42.99M","1.69%"
"Dec 02, 2021","474","478","482","468","61.10M","-0.84%"
"Dec 01, 2021","478","492","496","470","57.54M","-2.85%"
"Nov 30, 2021","492","505","505","492","56.10M","-0.81%"
"Nov 29, 2021","496","500","505","488","55.91M","-0.80%"
"Nov 26, 2021","500","515","525","500","67.60M","-3.85%"
"Nov 25, 2021","520","525","530","510","33.27M","-0.95%"
"Nov 24, 2021","525","535","540","515","53.14M","-1.87%"
"Nov 23, 2021","535","540","540","525","36.17M","-0.93%"
"Nov 22, 2021","540","555","560","530","36.16M","-2.70%"
"Nov 19, 2021","555","550","560","550","36.28M","0.91%"
