Date		Price	Open	High	Low	Vol.	Change %
Dec-30	2020	780	804	824	775	81.46M	-3.01%
Dec-28	2020	819	819	838	795	47.02M	0.60%
Dec-29	2020	804	828	833	795	63.27M	-1.78%
Mar-30	2021	921	959	964	901	22.11M	-4.04%
Apr-30	2021	940	959	964	940	9.49M	-1.52%
Jun-30	2021	850	800	860	795	33.00M	6.92%
Jul-30	2021	750	755	760	745	16.68M	-0.66%
Aug-30	2021	805	780	815	775	34.37M	5.23%
Sep-30	2021	845	830	855	825	64.40M	2.42%
Nov-30	2021	870	880	890	840	34.02M	-1.14%
Mar-31	2021	911	906	916	867	62.26M	-1.05%
May-31	2021	911	887	935	882	32.97M	3.87%
Aug-31	2021	795	805	815	795	17.11M	-1.24%
Feb-01	2021	707	669	732	649	64.15M	5.04%
Mar-01	2021	867	809	891	799	215.39M	8.49%
Apr-01	2021	896	911	921	891	49.27M	-1.60%
Jul-01	2021	835	860	860	820	15.60M	-1.76%
Sep-01	2021	805	800	810	795	6.75M	1.26%
Oct-01	2021	825	835	865	820	94.72M	-2.37%
Nov-01	2021	930	915	945	915	35.47M	1.64%
Dec-01	2021	835	865	880	820	60.38M	-4.02%
Feb-02	2021	698	722	727	688	30.66M	-1.37%
Mar-02	2021	882	887	906	867	103.04M	1.68%
Jun-02	2021	930	911	945	911	33.27M	2.13%
Jul-02	2021	830	835	850	825	14.98M	-0.60%
Aug-02	2021	770	750	780	740	48.36M	2.67%
Sep-02	2021	830	810	830	795	27.89M	3.11%
Nov-02	2021	925	930	945	920	35.24M	-0.54%
Dec-02	2021	820	835	840	810	43.52M	-1.80%
Feb-03	2021	698	703	717	693	25.37M	0.00%
Mar-03	2021	853	887	896	833	49.15M	-3.30%
May-03	2021	950	940	950	906	38.82M	1.03%
Jun-03	2021	925	930	940	901	31.82M	-0.52%
Aug-03	2021	775	775	790	760	32.68M	0.65%
Sep-03	2021	845	835	855	775	174.01M	1.81%
Nov-03	2021	975	930	985	920	120.12M	5.41%
Dec-03	2021	855	830	870	825	37.47M	4.27%
Jan-04	2021	804	785	809	756	48.74M	3.11%
