"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 27, 2021","1,480","1,475","1,490","1,465","6.48M","0.68%"
"Dec 24, 2021","1,470","1,480","1,490","1,465","9.16M","-0.34%"
"Dec 23, 2021","1,475","1,485","1,490","1,470","6.67M","-0.67%"
"Dec 22, 2021","1,485","1,510","1,515","1,480","4.92M","-1.00%"
"Dec 21, 2021","1,500","1,480","1,510","1,470","10.36M","1.35%"
"Dec 20, 2021","1,480","1,475","1,505","1,465","14.32M","-0.67%"
"Dec 17, 2021","1,490","1,510","1,510","1,480","11.44M","0.00%"
"Dec 16, 2021","1,490","1,510","1,515","1,480","17.00M","-1.00%"
"Dec 15, 2021","1,505","1,545","1,555","1,500","17.21M","-2.27%"
"Dec 14, 2021","1,540","1,565","1,565","1,540","10.29M","-1.60%"
"Dec 13, 2021","1,565","1,555","1,570","1,555","7.72M","0.64%"
"Dec 10, 2021","1,555","1,570","1,570","1,550","4.49M","-0.64%"
"Dec 09, 2021","1,565","1,550","1,565","1,545","10.00M","1.62%"
"Dec 08, 2021","1,540","1,560","1,570","1,535","12.03M","-0.65%"
"Dec 07, 2021","1,550","1,560","1,570","1,550","8.93M","-0.32%"
"Dec 06, 2021","1,555","1,595","1,600","1,550","12.12M","-2.51%"
"Dec 03, 2021","1,595","1,580","1,605","1,570","15.05M","0.95%"
"Dec 02, 2021","1,580","1,540","1,585","1,530","13.24M","2.27%"
"Dec 01, 2021","1,545","1,580","1,585","1,540","18.41M","-2.22%"
"Nov 30, 2021","1,580","1,590","1,615","1,555","27.95M","-0.32%"
"Nov 29, 2021","1,585","1,575","1,595","1,540","33.23M","-0.94%"
