"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 27, 2021","4,210","4,200","4,230","4,170","7.24M","0.24%"
"Dec 24, 2021","4,200","4,090","4,210","4,080","11.98M","2.94%"
"Dec 23, 2021","4,080","4,060","4,120","4,060","7.86M","0.49%"
"Dec 22, 2021","4,060","4,100","4,130","4,050","10.19M","-0.49%"
"Dec 21, 2021","4,080","4,150","4,180","4,080","15.69M","-1.45%"
"Dec 20, 2021","4,140","4,150","4,160","4,120","12.06M","-0.24%"
"Dec 17, 2021","4,150","4,180","4,240","4,150","18.95M","-1.43%"
"Dec 16, 2021","4,210","4,290","4,320","4,200","13.52M","-1.41%"
"Dec 15, 2021","4,270","4,290","4,370","4,260","11.31M","-0.47%"
"Dec 14, 2021","4,290","4,350","4,360","4,280","13.49M","-2.05%"
"Dec 13, 2021","4,380","4,400","4,430","4,380","13.02M","-1.13%"
"Dec 10, 2021","4,430","4,370","4,430","4,310","14.29M","1.37%"
"Dec 09, 2021","4,370","4,300","4,370","4,270","10.36M","2.34%"
"Dec 08, 2021","4,270","4,300","4,350","4,270","10.99M","0.00%"
"Dec 07, 2021","4,270","4,240","4,300","4,230","16.92M","1.67%"
"Dec 06, 2021","4,200","4,230","4,250","4,160","16.43M","-0.47%"
"Dec 03, 2021","4,220","4,300","4,340","4,200","31.10M","-1.63%"
"Dec 02, 2021","4,290","4,310","4,340","4,220","34.86M","-0.46%"
"Dec 01, 2021","4,310","4,480","4,550","4,300","40.63M","-3.79%"
"Nov 30, 2021","4,480","4,600","4,650","4,460","66.59M","-3.24%"
"Nov 29, 2021","4,630","4,700","4,700","4,570","24.00M","-1.70%"
