"Date","Price","Open","High","Low","Change %"
"Dec 31, 2018","53.65","53.53","54.86","52.70","1.05%"
"Dec 28, 2018","53.09","54.05","54.45","52.05","-0.93%"
"Dec 27, 2018","53.59","54.78","54.95","52.54","-3.06%"
"Dec 26, 2018","55.28","50.61","55.58","50.41","8.82%"
"Dec 24, 2018","50.80","53.86","54.89","50.72","-5.49%"
"Dec 21, 2018","53.75","55.38","55.56","53.06","-2.24%"
"Dec 20, 2018","54.98","56.87","56.91","54.56","-3.02%"
"Dec 19, 2018","56.69","56.66","58.09","56.10","1.27%"
"Dec 18, 2018","55.98","59.24","59.25","55.88","-4.76%"
"Dec 17, 2018","58.78","60.52","61.22","58.70","-2.67%"
"Dec 14, 2018","60.39","61.48","61.63","60.01","-2.20%"
"Dec 13, 2018","61.75","60.47","62.09","59.44","2.40%"
"Dec 12, 2018","60.30","60.91","61.50","60.06","-0.48%"
"Dec 11, 2018","60.59","60.19","61.18","59.66","1.07%"
"Dec 10, 2018","59.95","62.06","62.42","59.69","-2.35%"
"Dec 07, 2018","61.39","59.98","63.79","59.23","1.69%"
"Dec 06, 2018","60.37","61.50","62.04","58.53","-2.11%"
"Dec 05, 2018","61.67","61.58","63.33","60.86","0.41%"
"Dec 04, 2018","61.42","61.73","63.62","61.31","-0.71%"
"Dec 03, 2018","61.86","61.12","62.61","60.62","4.56%"
"Nov 30, 2018","59.16","59.93","60.43","58.08","-0.94%"
"Nov 29, 2018","59.72","59.66","60.73","57.84","1.08%"
"Nov 28, 2018","59.08","60.75","61.42","58.89","-3.15%"
"Nov 27, 2018","61.00","60.47","61.50","59.11","0.59%"
"Nov 26, 2018","60.64","59.57","61.21","59.14","2.64%"
"Nov 23, 2018","59.08","62.84","63.04","58.68","-6.37%"
"Nov 22, 2018","63.10","63.86","64.05","62.57","-1.05%"
"Nov 21, 2018","63.77","62.84","64.75","62.84","1.84%"
"Nov 20, 2018","62.62","66.98","67.08","62.00","-6.72%"
"Nov 19, 2018","67.13","67.45","67.81","65.49","-0.04%"
"Nov 16, 2018","67.16","67.02","68.52","66.31","0.48%"
"Nov 15, 2018","66.84","66.33","67.53","65.97","1.10%"
"Nov 14, 2018","66.11","65.75","67.82","65.22","1.13%"
"Nov 13, 2018","65.37","69.44","69.84","64.84","-5.56%"
"Nov 12, 2018","69.22","71.12","71.94","69.03","-0.73%"
"Nov 09, 2018","69.73","70.92","71.08","69.27","-1.82%"
"Nov 08, 2018","71.02","72.19","73.09","70.67","-1.40%"
"Nov 07, 2018","72.03","71.78","73.56","71.38","0.47%"
"Nov 06, 2018","71.69","72.90","73.28","71.20","-1.33%"
"Nov 05, 2018","72.66","72.65","74.10","72.27","0.11%"
"Nov 02, 2018","72.58","72.75","73.50","72.19","-0.27%"
"Nov 01, 2018","72.78","74.69","74.97","72.59","-2.48%"
"Oct 31, 2018","74.63","76.31","77.11","74.59","-2.15%"
"Oct 30, 2018","76.27","76.78","77.34","75.28","-0.77%"
"Oct 29, 2018","76.86","77.75","78.00","76.59","-1.07%"
"Oct 26, 2018","77.69","76.52","77.94","75.81","1.46%"
"Oct 25, 2018","76.57","75.62","77.09","75.41","1.19%"
"Oct 24, 2018","75.67","76.03","77.44","75.18","-0.38%"
